Country Name,Income classification 2021,Population 2021,Region,Country Code
Afghanistan,Low income,40099462,South Asia,AFG
Albania,Upper middle income,2811666,Europe & Central Asia,ALB
Algeria,Lower middle income,44177969,Middle East & North Africa,DZA
American Samoa,Upper middle income,45035,East Asia & Pacific,ASM
Andorra,High income,79034,Europe & Central Asia,AND
Angola,Lower middle income,34503774,Sub-Saharan Africa,AGO
Antigua and Barbuda,High income,93219,Latin America & Caribbean,ATG
Argentina,Upper middle income,45808747,Latin America & Caribbean,ARG
Armenia,Upper middle income,2790974,Europe & Central Asia,ARM
Aruba,High income,106537,Latin America & Caribbean,ABW
Australia,High income,25688079,East Asia & Pacific,AUS
Austria,High income,8955797,Europe & Central Asia,AUT
Azerbaijan,Upper middle income,10137750,Europe & Central Asia,AZE
"Bahamas, The",High income,407906,Latin America & Caribbean,BHS
Bahrain,High income,1463265,Middle East & North Africa,BHR
Bangladesh,Lower middle income,169356251,South Asia,BGD
Barbados,High income,281200,Latin America & Caribbean,BRB
Belarus,Upper middle income,9340314,Europe & Central Asia,BLR
Belgium,High income,11592952,Europe & Central Asia,BEL
Belize,Upper middle income,400031,Latin America & Caribbean,BLZ
Benin,Lower middle income,12996895,Sub-Saharan Africa,BEN
Bermuda,High income,63867,North America,BMU
Bhutan,Lower middle income,777486,South Asia,BTN
Bolivia,Lower middle income,12079472,Latin America & Caribbean,BOL
Bosnia and Herzegovina,Upper middle income,3270943,Europe & Central Asia,BIH
Botswana,Upper middle income,2588423,Sub-Saharan Africa,BWA
Brazil,Upper middle income,214326223,Latin America & Caribbean,BRA
British Virgin Islands,High income,31122,Latin America & Caribbean,VGB
Brunei Darussalam,High income,445373,East Asia & Pacific,BRN
Bulgaria,Upper middle income,6877743,Europe & Central Asia,BGR
Burkina Faso,Low income,22100683,Sub-Saharan Africa,BFA
Burundi,Low income,12551213,Sub-Saharan Africa,BDI
Cabo Verde,Lower middle income,587925,Sub-Saharan Africa,CPV
Cambodia,Lower middle income,16589023,East Asia & Pacific,KHM
Cameroon,Lower middle income,27198628,Sub-Saharan Africa,CMR
Canada,High income,38246108,North America,CAN
Cayman Islands,High income,68136,Latin America & Caribbean,CYM
Central African Republic,Low income,5457154,Sub-Saharan Africa,CAF
Chad,Low income,17179740,Sub-Saharan Africa,TCD
Channel Islands,High income,172683,Europe & Central Asia,CHI
Chile,High income,19493184,Latin America & Caribbean,CHL
China,Upper middle income,1412360000,East Asia & Pacific,CHN
Colombia,Upper middle income,51516562,Latin America & Caribbean,COL
Comoros,Lower middle income,821625,Sub-Saharan Africa,COM
"Congo, Dem. Rep.",Low income,95894118,Sub-Saharan Africa,COD
"Congo, Rep.",Lower middle income,5835806,Sub-Saharan Africa,COG
Costa Rica,Upper middle income,5153957,Latin America & Caribbean,CRI
Cote d'Ivoire,Lower middle income,27478249,Sub-Saharan Africa,CIV
Croatia,High income,3899000,Europe & Central Asia,HRV
Cuba,Upper middle income,11256372,Latin America & Caribbean,CUB
Curacao,High income,152369,Latin America & Caribbean,CUW
Cyprus,High income,1244188,Europe & Central Asia,CYP
Czechia,High income,10505772,Europe & Central Asia,CZE
Denmark,High income,5856733,Europe & Central Asia,DNK
Djibouti,Lower middle income,1105557,Middle East & North Africa,DJI
Dominica,Upper middle income,72412,Latin America & Caribbean,DMA
Dominican Republic,Upper middle income,11117873,Latin America & Caribbean,DOM
Ecuador,Upper middle income,17797737,Latin America & Caribbean,ECU
"Egypt, Arab Rep.",Lower middle income,109262178,Middle East & North Africa,EGY
El Salvador,Lower middle income,6314167,Latin America & Caribbean,SLV
Equatorial Guinea,Upper middle income,1634466,Sub-Saharan Africa,GNQ
Eritrea,Low income,3620312,Sub-Saharan Africa,ERI
Estonia,High income,1330932,Europe & Central Asia,EST
Eswatini,Lower middle income,1192271,Sub-Saharan Africa,SWZ
Ethiopia,Low income,120283026,Sub-Saharan Africa,ETH
Faroe Islands,High income,52889,Europe & Central Asia,FRO
Fiji,Upper middle income,924610,East Asia & Pacific,FJI
Finland,High income,5541017,Europe & Central Asia,FIN
France,High income,67749632,Europe & Central Asia,FRA
French Polynesia,High income,304032,East Asia & Pacific,PYF
Gabon,Upper middle income,2341179,Sub-Saharan Africa,GAB
"Gambia, The",Low income,2639916,Sub-Saharan Africa,GMB
Georgia,Upper middle income,3708610,Europe & Central Asia,GEO
Germany,High income,83196078,Europe & Central Asia,DEU
Ghana,Lower middle income,32833031,Sub-Saharan Africa,GHA
Gibraltar,High income,32669,Europe & Central Asia,GIB
Greece,High income,10641221,Europe & Central Asia,GRC
Greenland,High income,56653,Europe & Central Asia,GRL
Grenada,Upper middle income,124610,Latin America & Caribbean,GRD
Guam,High income,170534,East Asia & Pacific,GUM
Guatemala,Upper middle income,17109746,Latin America & Caribbean,GTM
Guinea,Low income,13531906,Sub-Saharan Africa,GIN
Guinea-Bissau,Low income,2060721,Sub-Saharan Africa,GNB
Guyana,Upper middle income,804567,Latin America & Caribbean,GUY
Haiti,Lower middle income,11447569,Latin America & Caribbean,HTI
Honduras,Lower middle income,10278345,Latin America & Caribbean,HND
"Hong Kong SAR, China",High income,7413100,East Asia & Pacific,HKG
Hungary,High income,9709891,Europe & Central Asia,HUN
Iceland,High income,372520,Europe & Central Asia,ISL
India,Lower middle income,1407563842,South Asia,IND
Indonesia,Lower middle income,273753191,East Asia & Pacific,IDN
"Iran, Islamic Rep.",Lower middle income,87923432,Middle East & North Africa,IRN
Iraq,Upper middle income,43533592,Middle East & North Africa,IRQ
Ireland,High income,5033165,Europe & Central Asia,IRL
Isle of Man,High income,84263,Europe & Central Asia,IMN
Israel,High income,9364000,Middle East & North Africa,ISR
Italy,High income,59109668,Europe & Central Asia,ITA
Jamaica,Upper middle income,2827695,Latin America & Caribbean,JAM
Japan,High income,125681593,East Asia & Pacific,JPN
Jordan,Upper middle income,11148278,Middle East & North Africa,JOR
Kazakhstan,Upper middle income,19000988,Europe & Central Asia,KAZ
Kenya,Lower middle income,53005614,Sub-Saharan Africa,KEN
Kiribati,Lower middle income,128874,East Asia & Pacific,KIR
"Korea, Dem. People's Rep.",Low income,25971909,East Asia & Pacific,PRK
"Korea, Rep.",High income,51744876,East Asia & Pacific,KOR
Kosovo,Upper middle income,1786038,Europe & Central Asia,XKX
Kuwait,High income,4250114,Middle East & North Africa,KWT
Kyrgyz Republic,Lower middle income,6691800,Europe & Central Asia,KGZ
Lao PDR,Lower middle income,7425057,East Asia & Pacific,LAO
Latvia,High income,1884490,Europe & Central Asia,LVA
Lebanon,Lower middle income,5592631,Middle East & North Africa,LBN
Lesotho,Lower middle income,2281454,Sub-Saharan Africa,LSO
Liberia,Low income,5193416,Sub-Saharan Africa,LBR
Libya,Upper middle income,6735277,Middle East & North Africa,LBY
Liechtenstein,High income,39039,Europe & Central Asia,LIE
Lithuania,High income,2800839,Europe & Central Asia,LTU
Luxembourg,High income,640064,Europe & Central Asia,LUX
"Macao SAR, China",High income,686607,East Asia & Pacific,MAC
Madagascar,Low income,28915653,Sub-Saharan Africa,MDG
Malawi,Low income,19889742,Sub-Saharan Africa,MWI
Malaysia,Upper middle income,33573874,East Asia & Pacific,MYS
Maldives,Upper middle income,521457,South Asia,MDV
Mali,Low income,21904983,Sub-Saharan Africa,MLI
Malta,High income,518536,Middle East & North Africa,MLT
Marshall Islands,Upper middle income,42050,East Asia & Pacific,MHL
Mauritania,Lower middle income,4614974,Sub-Saharan Africa,MRT
Mauritius,Upper middle income,1266060,Sub-Saharan Africa,MUS
Mexico,Upper middle income,126705138,Latin America & Caribbean,MEX
"Micronesia, Fed. Sts.",Lower middle income,113131,East Asia & Pacific,FSM
Moldova,Upper middle income,2615199,Europe & Central Asia,MDA
Monaco,High income,36686,Europe & Central Asia,MCO
Mongolia,Lower middle income,3347782,East Asia & Pacific,MNG
Montenegro,Upper middle income,619211,Europe & Central Asia,MNE
Morocco,Lower middle income,37076584,Middle East & North Africa,MAR
Mozambique,Low income,32077072,Sub-Saharan Africa,MOZ
Myanmar,Lower middle income,53798084,East Asia & Pacific,MMR
Namibia,Upper middle income,2530151,Sub-Saharan Africa,NAM
Nauru,High income,12511,East Asia & Pacific,NRU
Nepal,Lower middle income,30034989,South Asia,NPL
Netherlands,High income,17533044,Europe & Central Asia,NLD
New Caledonia,High income,271030,East Asia & Pacific,NCL
New Zealand,High income,5122600,East Asia & Pacific,NZL
Nicaragua,Lower middle income,6850540,Latin America & Caribbean,NIC
Niger,Low income,25252722,Sub-Saharan Africa,NER
Nigeria,Lower middle income,213401323,Sub-Saharan Africa,NGA
North Macedonia,Upper middle income,2065092,Europe & Central Asia,MKD
Northern Mariana Islands,High income,49481,East Asia & Pacific,MNP
Norway,High income,5408320,Europe & Central Asia,NOR
Oman,High income,4520471,Middle East & North Africa,OMN
Pakistan,Lower middle income,231402117,South Asia,PAK
Palau,Upper middle income,18024,East Asia & Pacific,PLW
Panama,High income,4351267,Latin America & Caribbean,PAN
Papua New Guinea,Lower middle income,9949437,East Asia & Pacific,PNG
Paraguay,Upper middle income,6703799,Latin America & Caribbean,PRY
Peru,Upper middle income,33715471,Latin America & Caribbean,PER
Philippines,Lower middle income,113880328,East Asia & Pacific,PHL
Poland,High income,37747124,Europe & Central Asia,POL
Portugal,High income,10325147,Europe & Central Asia,PRT
Puerto Rico,High income,3263584,Latin America & Caribbean,PRI
Qatar,High income,2688235,Middle East & North Africa,QAT
Romania,High income,19119880,Europe & Central Asia,ROU
Russian Federation,Upper middle income,143449286,Europe & Central Asia,RUS
Rwanda,Low income,13461888,Sub-Saharan Africa,RWA
Samoa,Lower middle income,218764,East Asia & Pacific,WSM
San Marino,High income,33745,Europe & Central Asia,SMR
Sao Tome and Principe,Lower middle income,223107,Sub-Saharan Africa,STP
Saudi Arabia,High income,35950396,Middle East & North Africa,SAU
Senegal,Lower middle income,16876720,Sub-Saharan Africa,SEN
Serbia,Upper middle income,6834326,Europe & Central Asia,SRB
Seychelles,High income,99258,Sub-Saharan Africa,SYC
Sierra Leone,Low income,8420641,Sub-Saharan Africa,SLE
Singapore,High income,5453566,East Asia & Pacific,SGP
Sint Maarten (Dutch part),High income,42846,Latin America & Caribbean,SXM
Slovak Republic,High income,5447247,Europe & Central Asia,SVK
Slovenia,High income,2108079,Europe & Central Asia,SVN
Solomon Islands,Lower middle income,707851,East Asia & Pacific,SLB
Somalia,Low income,17065581,Sub-Saharan Africa,SOM
South Africa,Upper middle income,59392255,Sub-Saharan Africa,ZAF
South Sudan,Low income,10748272,Sub-Saharan Africa,SSD
Spain,High income,47415750,Europe & Central Asia,ESP
Sri Lanka,Lower middle income,22156000,South Asia,LKA
St. Kitts and Nevis,High income,47606,Latin America & Caribbean,KNA
St. Lucia,Upper middle income,179651,Latin America & Caribbean,LCA
St. Martin (French part),High income,31948,Latin America & Caribbean,MAF
St. Vincent and the Grenadines,Upper middle income,104332,Latin America & Caribbean,VCT
Sudan,Low income,45657202,Sub-Saharan Africa,SDN
Suriname,Upper middle income,612985,Latin America & Caribbean,SUR
Sweden,High income,10415811,Europe & Central Asia,SWE
Switzerland,High income,8703405,Europe & Central Asia,CHE
Syrian Arab Republic,Low income,21324367,Middle East & North Africa,SYR
Tajikistan,Lower middle income,9750064,Europe & Central Asia,TJK
Tanzania,Lower middle income,63588334,Sub-Saharan Africa,TZA
Thailand,Upper middle income,71601103,East Asia & Pacific,THA
Timor-Leste,Lower middle income,1320942,East Asia & Pacific,TLS
Togo,Low income,8644829,Sub-Saharan Africa,TGO
Tonga,Upper middle income,106017,East Asia & Pacific,TON
Trinidad and Tobago,High income,1525663,Latin America & Caribbean,TTO
Tunisia,Lower middle income,12262946,Middle East & North Africa,TUN
Turkiye,Upper middle income,84775404,Europe & Central Asia,TUR
Turkmenistan,Upper middle income,6341855,Europe & Central Asia,TKM
Turks and Caicos Islands,High income,45114,Latin America & Caribbean,TCA
Tuvalu,Upper middle income,11204,East Asia & Pacific,TUV
Uganda,Low income,45853778,Sub-Saharan Africa,UGA
Ukraine,Lower middle income,43792855,Europe & Central Asia,UKR
United Arab Emirates,High income,9365145,Middle East & North Africa,ARE
United Kingdom,High income,67326569,Europe & Central Asia,GBR
United States,High income,331893745,North America,USA
Uruguay,High income,3426260,Latin America & Caribbean,URY
Uzbekistan,Lower middle income,34915100,Europe & Central Asia,UZB
Vanuatu,Lower middle income,319137,East Asia & Pacific,VUT
"Venezuela, RB",Lower middle income,28199867,Latin America & Caribbean,VEN
Vietnam,Lower middle income,97468029,East Asia & Pacific,VNM
Virgin Islands (U.S.),High income,105870,Latin America & Caribbean,VIR
West Bank and Gaza,Lower middle income,4922749,Middle East & North Africa,PSE
"Yemen, Rep.",Low income,32981641,Middle East & North Africa,YEM
Zambia,Low income,19473125,Sub-Saharan Africa,ZMB
Zimbabwe,Lower middle income,15993524,Sub-Saharan Africa,ZWE
